predicted,sentiment,text
negative,negative,конец свет на за гора а ты весь еще хотеть что бы мтс нормально ловить 
negative,negative, @alexmarchenko1: у я интернет отключать сука   сидеть с мтс инет но деньги немного 
negative,negative,@ru_mts не смочь решать проблема с открытие детализация в формат *xls куда уж там писать про зона покрытие 
negative,negative,дерьмовый оператор чем #мтс не находить 
negative,negative,доставать уже надо отказываться от #мтс http://tco/loev8mrwpy 
negative,negative,избирательный мтс - туда нельзясюда нельзя а куда-когда можно как вечер так нет связь 
negative,negative,@i_m_filatov кстати а уже можно менять оператор без смена номер а то хотеть уже давно переходить с мтс на мегафон а номер жалко терять 
negative,negative, @rywumoxuzax: мтс без 3г просто печала  неговорить уже то что у они в соседний регион драть бабло как хз что 
negative,negative,доставать я мтс и его проект безлимитный мобильный интернет бит деньги за трафик сдирать да и еще 200 рэ каждый 
negative,negative, @zycirexoweta: у мтс проблема со связь из-за замена оборудование 
negative,negative, @gokehonapomi: у мтс проблема со связь из-за замена оборудование 
negative,negative,и у мтс во владимирский облость тоже сеть плохой 
negative,positive,любить мтс за точто разрешать делать я ахуенный долгиихихий 
negative,negative,@ru_mts потом еще и рассылка на сотовый за 20 руб в день сам подключать это нормально вообще 
negative,negative, @gudkovd: мтс дерьмо 
negative,negative, @devumegadeha: у мтс проблема со связь из-за замена оборудование 
negative,negative, @liqibojehog: сраня мтс срана не знать что случаться но вчера я приходить два смска от operaupdaterru с безграмотный ссылка паролы 
negative,positive,вставлять симка мтс :) так что у я быть сеть :-) пилить на поезд еще час 6 но ничего жить 
negative,negative, @gudkovd: #мтс дерьмосвязь добрый утро 
negative,negative, @mexubygywol: у мтс проблема со связь из-за замена оборудование 
negative,negative,как-то под макосье у я не хотеть работать mts mf627 точно один раз работать но скорость быть жуткий просто щас вообще 
negative,negative,купить сие в салон мтс в нк-сити ужасный обслуживание девочка дура весь перепутывать 
negative,negative, @nibabigeg: жуйк у ты получаться отключать рассылка mts-info это когда приходить такой страшный смс уже_с_поле_ввод_текст типо 
negative,negative,такой медленный интернет у @ru_mts в пробка автоматически включать bit maxi и снимать за это деньги 
negative,negative,@panda_s_marsa дыа просто перед этот мама выводить из себя мтс и на я она злость не хватить слав мтсхотить падло деньги сжирать 
negative,negative,3g от мтс сегодня работать так что быть бы хорошо если бы он вообще не быть ужасающий #мтс #козлы #vrn 
negative,positive,@by_mts спасибо большой отличный сервис 
negative,negative,и связь на #мтс сильно ухудшаться постоянный сбой и разрыв соединение 
negative,negative,на озерко у мтс плохой сигнал точно перенагруженный 
negative,negative, @abakan19: интернет от мтс - дерьмо в абакан почти везде не ловиться даже в центр город нет 3g  позор 
positive,positive,мтс и akamai ускорять доступ пользователь к зарубежный интернет-ресурс: компания мтс и akamai technologies с http://tco/zzd1qq4fkp 
negative,positive,мтс и akamai ускорять доступ к зарубежный интернет-ресурс http://tco/khjhkccz7h 
negative,negative,глюк мтс помножать на тупость телефон motorola l9 (да он незнакомый но такой тупой и тормозной) — это реальный тя 
negative,negative, @qawefukalyf: bosh сильно крутой но мтс сильно г*но 
negative,negative,не мочь скрин скидывать из-за интернет @by_mts вы издеваться опять написать в лс где плохо тянуть в центр брест ping1456 down923 up22 
negative,negative,по технический причина отправка sms-сообщение абонент мтс временно недоступный 
negative,negative,@aidargaisin в общий заканчивать мочь сказать что по качество связь мегафон суметь обходить мтс а ведь мтс быть хороший оператор 
negative,positive,http://tco/g2u4myadsl мтс и akamai ускорять доступ к зарубежный интернет-ресурс 
negative,negative,почему вменять 3g от @ru_mts в спб только в метро в центр у пгупс вообще поймать gprs даже не edge http://tco/dc1jd4tfgf 
negative,positive,@ru_mts спасибо все сделать даже из отдел претензия перезванивать 
negative,negative,жуйк у кто быть опыт отучивание 3g модем мтс от этот самый мтс ну чтоб работать с любой sim-карта давать годный 
negative,negative, @blackmonk72: @abeduin @zti74 пробовать не помогать да и другой смс приходить похоже проблема где-то между #webmoney и #mts #мтс #новос 
negative,positive,@dudlik_spb кстати давать мтс без шум возвращалить мегафон я долго ругаться с оператор ради заявка на корректировкувертывать через 2 мес() 
negative,negative,#мтс - ебаный гавно нах не мочь стабильно тащить даже 40 кбсекать потоковый аудио взбесить сука какой же кайф - мегафон 
positive,negative,запаривать мтс смс-спам пойти смс на мтс и выйграй мильярд 
negative,negative,на #мтс не приходить смс @tcsbank =( 
negative,negative, @norby_kievskiy: писать о проблема со связь мтс #євромайдан 
negative,positive, @tanya_infinity: мтс присылать смс: с добрый утро и хороший вы день 
positive,negative,в украина у ведущий мобильный оператор мтс забирать лицензия 
negative,negative,украинский мтс втихаря собирать по 5 гривна с каждый абонент - http://tco/smjfeslahz прикольно сколько там у они абонент всего 
negative,positive,кто любить я радовать  любимый мтс :* 
negative,negative,в украина у ведущий мобильный оператор мтс забирать лицензия: в среда 4 декабрь у украинский мобильный о http://tco/tkrmzd2gwc 
negative,negative, @kysywaqas: жуйк у ты получаться отключать рассылка mts-info это когда приходить такой страшный смс уже_с_поле_ввод_текст типо 
negative,negative,интернет от @mts_ru сегодня адски лажать 
negative,negative,жуйк у ты получаться отключать рассылка mts-info это когда приходить такой страшный смс уже_с_поле_ввод_текст типо 
negative,negative,в метро iphone 5 с сей карта #мтс превращаться в обычный mp3 player 
negative,negative,@istayer на мтс сеть пропадать в метро а так хотя бы едж быть поэтому без связь не оставаться 
negative,negative, @series__freak: инет от мтс хуит 
negative,positive,мтс и akamai ускорять доступ к зарубежный интернет-ресурс 
negative,positive,http://tco/gowvberunw мтс и akamai ускорять доступ к зарубежный интернет-ресурс 
negative,positive, @_morkov: мтс и akamai ускорять доступ к зарубежный интернет-ресурс 
negative,negative,этот гребаный мтс снимать у я деньги за сутки 
negative,negative, @fedoqetivyfu: сраня мтс срана не знать что случаться но вчера я приходить два смска от operaupdaterru с безграмотный ссылка паролы 
negative,positive,я теперича интернет-модем мтс купить 750 рубль заплатить 501 на баланс безлимитный интернет (безлимит mini) подключать 
negative,negative,@ru_mts где в спб можно получать nano-sim1  в 5 салон нет в наличие где можно узнавать информация о наличие 
negative,positive,мтс и akamai ускорять доступ к зарубежный интернет-ресурс http://tco/vwvsh3qhdx 
negative,positive,ммм это же целый гудок дорн на месяц :d #спасибомтс http://tco/yrobhsas3n 
negative,negative, @cofecaleryp: на озерко у мтс плохой сигнал точно перенагруженный 
negative,negative,мтс залочить короткий номер сбер смска не приходить в онлайн не зайти баланс не проверять 
negative,negative,@marina_margo23 мтс  в россия плохой некуда (у я по крайний мера) 
negative,negative,@ru_mts починять уже интернет 
negative,negative,укр мтс давать тело № свой абонент разный компания и тот долбить звонок и смс это плохо 
negative,negative,после пользование мтс постоянно ждать какой то подвох если оператор объявлять о новый тариф и он ты казаться уж о 
negative,negative,приходить смс от #мтс: вы изменять тарифный план весь полагаться вы льгота отныне недоступный весело при то что я ничто не менять 
negative,positive, @by_mts: hd voice уже доступный все абонент использовать телефон с поддержка hd voice (это много 250 модель) и находиться в сеть  
negative,negative,ощущение что мтс нихуйова так найобывать 
negative,negative, @vyhygofefur: ебучок мтс вдоль ржд —  гавно 
negative,negative,3жи от мтс медленный маршрутка еле плестись что делать в пробка 
negative,negative,@ru_mts интернет у я в планшет не работать не знать почему :-) 
negative,negative,@kravts_ @leshamakarov мтс - у они первый слово в аббревиатура мудак 
negative,negative,#мтсгавно 
positive,negative,мтс с 1 ноябрь 2010 г увеличивать абонентский плата за безлимитный интернет быть внимательный дама и господь удоволь 
negative,negative,@ru_mts номер у я 10лета тогда быть тарифыдраконовскиеа на другой тариф вы я не переводитема тариф не переводитсява я говорить 
negative,negative,@ru_mts москва нагорный проезд 5 - интернет вообще работать быть второй день подряд то потухать - то погасать скакать edge-3g - и все 
negative,negative,это как #мтс водитель маршрутка предлагать бы на каждый остановка перезайти заново в салон потому что иначе он не мочь вы посчитать блядь) 
negative,negative,@ru_mts но почему так долго я за что деньги платить за то что ругаться с вы там не так много нужно сделать 
negative,negative,инет от мтс в последний время расстраивать 
negative,negative,фак я мтс присылать смска со спам-картинка внутри такой еще не быть 
negative,negative,#мтс сегодня жжжет адски 
negative,negative, @gapymojegybi: у мтс проблема со связь из-за замена оборудование 
positive,negative,в #украина у ведущий мобильный оператор #мтс забирать лицензия (6)   #autofollowback 
negative,negative,мтс я желать хороший день  вовремя блять 
negative,negative,#мтс какой хер http://tco/jvlypuaw5n 
negative,positive,хорошо с мтс звонить минута 4 рубль только тариф подключать 
negative,negative,@parapetroo у мтс я даже услуга такой подключать не мочь айфон на этот команда просто не реагировать  средневековье какой-то а не роуминг 
negative,negative,#мтс - вы ужасно относиться к свой абонент я пользоваться тариф смарт+ вы я только геморрой добавлять #mts #ужасныйсервис 
negative,negative,@n2force @ru_mts знать про этот проблема наносимок тож быть мало сначала обзванивать офис потом пойти за симка) 
negative,negative,пиздец ну что хоть русский #мтс хоть спрашивать  а украинский вовсе не шевелиться друг нужно покидать лава абонент #мтс с такой качество 
negative,negative,@ru_mts вы думать что именно по мой адрес интернет не работать я они дома не пользоваться тогда уж весь город новосибирск проверять 
positive,positive,мтс награждать участник летний акция планшет ipad 
positive,positive,мтс ускорять мобильный интернет в 62 населенный пункт http://tco/te3ajxgq7g 
negative,negative, @qikadiwikere: у мтс проблема со связь из-за замена оборудование 
negative,negative,@vadimsavin неа я только мтс впаривать свой смартфон на скидка)) 
negative,negative,@ru_mts пидорас ебаный заебывать свой интернет везде сайт открываться только с модем мтс нихера гугл хром не мочь находить ублюдок 
positive,positive,даже #мтс поздравилкак мило:d 
negative,negative,http://tco/cnlynkgihc #не определяться баланс мтс на андроид 
positive,negative, @fiwosopojofa: 3г от мтс — полный г 
negative,negative, @butidotulyb: у мтс проблема со связь из-за замена оборудование 
negative,negative, @nymihegijami: у мтс проблема со связь из-за замена оборудование 
negative,negative,полдень сидеть на связной-мобайл (мтс) и мочь с уверенность сказать: 3g от мтс гавно 
negative,negative,мтс злить сильно нет сигнал 
negative,positive,спасибо за ваш реплая по повод смс-оповещение не ожидать что они быть так много спасибо @by_mts за качественный организация процесс 
negative,negative,теперь не мочь читать хартия мтс поганый 
negative,negative,@ru_mts у все кто спрашивать у весь проблема со связь мтс ((((( 
negative,negative, @civuxiqutabo: у мтс проблема со связь из-за замена оборудование 
negative,negative,саня начинать психовать из - за какой - то мтс :dd 
negative,negative, @durakadaxit: у мтс проблема со связь из-за замена оборудование 
negative,negative, @cydygydaxuke: у мтс проблема со связь из-за замена оборудование 
negative,negative,ненавидеть мтс наверно это взаимно мтс весь ненавидеть 
negative,negative,@noxie_17 ну и вообще как так айфон и мтс не совместимый тогда они сильно терять в клиентура не понимать(((( 
negative,negative,это ужас не мочь выходить в интернет с планшет спасибо mts за то что испортить вечер #мтс #отстой 
negative,negative, @oliminor: что сука блять с мтс твориться 
negative,negative, @sudahahudyt: у мтс проблема со связь из-за замена оборудование 
negative,negative,бле мтс сцуко неадекватный быть доступный кредит -1100 руб попытаться изменять лимит с интернет помошник как то кривой 
negative,positive,крутой мтс забирать 2 рубль за час разговор почему-то я очень рад этот мелочь:) 
negative,negative, @lyasan_pro: желать #мтс чтоб он гореть в ад со свой  мобильный интернет 
negative,negative, @qucahahuviqe: у мтс проблема со связь из-за замена оборудование 
negative,negative,где блядь мой честнопроплаченный интернет от #мтс  
negative,negative, @cazohibajun: у мтс проблема со связь из-за замена оборудование 
negative,negative,@ru_mts нет от административный управление роскомнадзор в ответ на жалоба на вы получать а от вы нет 
negative,negative,бля центр мтс у автовокзал просто жесть 
negative,positive, @lyasan_pro: похоже сегодня #мтс сходить с ум так как инет работать нормально отлично я бы даже сказать (не думать что такой сказать) 
negative,negative,кстати мтс потихоньку цена подымать у другой оператор также 
negative,negative,специальный сборка опера мини для абонент мтс не уметь даже закладка синхронизирновать она вроде даже настройка через 
negative,negative, @bicijupoxoje: ебучок мтс вдоль ржд —  гавно 
positive,positive,мтс оборудовать троллейбус в оренбург бесплатный wi-fi http://tco/wr1smmojaa 
negative,negative,#мтс шарлотан 
positive,negative,мтс получать штраф за sms с реклама свой услуга 
negative,negative,@ru_mts 9192949626 нет связь нет 3g пропадать голос г клинцы 
negative,negative,@ru_mts кхъа е вы заебалиулучшать связь в скуба быстро епть 
negative,negative,@ru_mts смска уходить но на номер мтс не приходить 
negative,negative,#мтс #тюмень у я у один на республика от рентал до тульский 3g не ловить 
positive,positive,@ru_mts спасибо 
negative,negative, @kyxyxyvumaty: у мтс проблема со связь из-за замена оборудование 
negative,negative,@ru_mts нет никакой связь абсолютно никто нельзя дозваниваться и интернет на телефон будто отсутствовать 
negative,negative, @kybuzumotar: у мтс проблема со связь из-за замена оборудование 
positive,positive,мтс оборудовать троллейбус в оренбург бесплатный wi-fi 
negative,negative,нужно срочно менять тариф на телефонезаебывать снимать деньги ни за что#мтсговно 
negative,positive,and now я счастливый обладательница мтс смартфон за 3 к 
negative,negative,мтс конкретно задолбать наверняка на заявка написать очередной отписка клиент не быть дома а из работа — перетыкать кабло в подъезд 
negative,negative,мтс последний время безобразный уровень качество мобильный связь и интернет предоставлять на фон огромный поток телереклама об обратный 
negative,negative,мтс  реклама все плохо и плохо ну кто променивать чудо на люмия 
positive,negative, @a100n: #мтсговно а у они твиттер быть 
negative,negative,@rashadbakinec не пиздеть на менять грузить тот решебник3джи и мтс не грузить 
negative,positive, @qadyxeponi: вставлять симка мтс :) так что у я быть сеть :-) пилить на поезд еще час 6 но ничего жить 
negative,negative,мтс не договариваться о приобретение акадо #autofollow   #follow4follow 
negative,negative, @danilenkoann: и все-таки мобильный интернет от мтс такой гавно 
positive,negative,мтс + инет + роуминг == 300р долой за сутки + пинг по 2 минута 
negative,negative,мтс дерьмо снимать бабка просто так надо менять оператор( 
negative,negative,вот нет бы обнадеживать чемнять :))) тьфу уже на этот мтс :))) деваться некуда от они:) 
negative,negative,@retelecaster мтс мартынов/чернышевский — расстройство 
negative,negative,мтс — яйцо в самый плохой смысл это слово 
negative,negative, @daria_se: ебаный мтс сука 
negative,negative,@ru_mts ой да идти вы уже давно сам весь исправлять а вы подтягивать уровень связь в москва и 
negative,negative, @djavallo: мтс гавно 
positive,negative,мтс оштрафовать на 100 тысяча рубль за рассылка реклама по смс 
negative,negative,очень плохо работать модем http://tco/an86ynugjw #сотовый связь #мтс 
negative,positive, @aleksandr_116: #мтс на шаг впереди :d http://tco/jikpohmw1m 
negative,negative,@ru_mts нет не спасибо этот хуйня не прекращаться у я запрет контент аууу http://tco/eywoypr34w 
positive,negative, @kristaguadagnol: мтс получать штраф за sms с реклама свой услуга 
negative,negative,@ru_mts по что нет поддержка мтс как оператор в twitter 
negative,positive,htc one за 20 390 рубль в мтс и связной: в интернет-магазин мтс и связной рухнуть цена на один из топовый  http://tco/exrgafz5vv 
negative,negative,как жить если твой мтс не доступный http://tco/ibq7ojbuzm 
negative,negative, @mostelefonstroy: истекать срок действие лицензия мтс в украина:  сотовый оператор пока что не смочь продлять лицензия но уверять  http 
negative,negative, @sawemymuxud: у мтс проблема со связь из-за замена оборудование 
negative,negative,=&gt;сказать все в порядок ожидать сколько еще ждать для активация из заявлять 3 день уже проходить неделя @by_mts  с велком на мтс 
negative,negative,тут в маршрутка один женщина с мтс ругаться-тип вы украсть деньгивернулипот сновай каждый раз-давать блокируйтенек 
negative,negative,@ru_mts интернет тупииит срочно исправлять этот неполадка что за безобразие за что я платить вы 
negative,negative,@ru_mts плохо работать моб интернетточно он вообще не работать 
negative,negative,у я работать @lisobelka: а шо такой с #mts  час уже нет связь #краснодар 
negative,negative,@ru_mts не смотря на отвратительный качество связь запускать система удалять мониторинг квартира или загородный дом 
negative,negative, @gajnetdinovaru: мтс задолбать гореть в ад сука 
negative,negative, @qonulabekij: мтс — пидарас вот а иначе — подымать инет с 350 рупия до 650 рупия уведомлять по sms (ага в симка воткруную в моп 
positive,negative,мтс оштрафовать на 100 тысяча рубль за рассылка реклама по смс http://tco/mhzxa9jxrc 
negative,negative, @libirusogodu: у мтс проблема со связь из-за замена оборудование 
positive,positive,@ru_mts @mts_ukraine благодарить =) 
negative,negative, @zamigehyrejy: мтс без 3г просто печала  неговорить уже то что у они в соседний регион драть бабло как хз что 
negative,positive,видно мтс я любить♥ 
negative,negative,@ru_mts они уходить в ожидание на 5 минута и потом извиняться что он нет в сетка 
negative,negative,в шесть утро спам от мтс — самый нужный дело побудка для семья обеспечивать 
negative,negative, @cadipeqorat: в шесть утро спам от мтс — самый нужный дело побудка для семья обеспечивать 
positive,positive,мтс оборудовать троллейбус в оренбург бесплатный wi-fi #news 
negative,negative, @pyvehofonus: кстати мтс потихоньку цена подымать у другой оператор также 
positive,negative,смс от мтс заколебать 
negative,negative,фу уже час как уезжать из салон #мтс а ощущение что весь пропахнуть средство для чистка ковер ((( неприятный http://tco/rykfpyhw11 
negative,negative, @xozugepelek: заебывать я свистопляска с мтс модем и тошнотворный качество связь — отправлять письмо в роспотребнадзор письмо пока 
negative,negative,после то как мтс в очередной раз присылать я спам я не выдерживать и написать в ответ не писать я много&amp;# http://tco/cwnxzwmbuw 
negative,negative,#мтс как быть гавно так и оставаться 10 минута ожидание на линия да вы ебнуться 
negative,negative,нижегородец пожаловаться на спам и мтс оштрафовать на 100 тысяча рубль 
negative,negative,нижегородец пожаловаться на спам и мтс оштрафовать на 100 тысяча рубль http://tco/uphvf5yxi0 
negative,negative,@ea_ch @murobars @ru_mts  согласный +100000 как только я переходить на мтс почти сразу захотеть сменить оператор увы привязка к номер 
negative,negative,@ru_mts вы что офигелиз что сегодня снимать 10 рублейтеперь у я не хватать 15 руб 
negative,positive, @nebedogymyba: интернет-магазин мтс хорошо показывать себя продавать я этот телефон настолько хорошо что я даже рекламировать его знакомый 
negative,positive,@kawoooruuu @__ziggystardust я мтс устраивать 200р/месяц за 100 мб/день 
negative,negative, @thedaemondevil: к интернет от мтс хотеться прикладывать подорожник 
negative,positive,@ru_mts сегодня зайти в ваш салон и поменять убивать сей карта спасибо даже захотеться деньги давать за сервис но сдерживаться) еще раз спасибо 
negative,negative,спасибо мтс за точто отрубать инет 
negative,negative,ваш баланс: 002 руб мтс желать вы приятный общение еще и издеваться #смех 
negative,negative,@ru_mts подсказывать пожалуйстакак можно расторгать с вы договор 
negative,negative,мтс ваща дерьмо при -117 руб блокировать симка;( 
negative,negative, @xooligano: мтс накрываться пизда хороший дело яйцо не называть 
negative,negative,@ilya_ishutin да нет же в мтс работать пидрила инф 100% 
negative,negative,твой мать сколько можно я уже от мтс 100500 сообщение приходить что за хрень 
negative,negative,@ivanshkurin аа прочитывать;) да у мтс большой проблема работать только смс 
negative,negative,блятский мтс блятский лайф заебывать 
negative,negative,мтс ты заебывать 
negative,negative,@mk__phoenix я примерно каждый 10 минута спам от мтс приходитя уже внимание не обращать :d 
negative,negative, @_lkots: сегодня мтс еще большой мразь чем обычно 
negative,negative,в калининград мтс отказываться работать совсем  http://tco/ua3yygu1xw 
negative,negative, @lzuikova: мтс мразь включать я интернет 
negative,positive,ну зато я любить мтс и канал ю 
negative,negative, @kaaatekaaate: мтс ты заебывать 
negative,negative,мтс подключать я опалта по факт без мой ведомо нафига она я  
negative,negative,а еще я очень сильно кажется что мтс я наебывать ну вот не мочь я истрачивать 500 рубль за 10 день 
negative,negative,сестренка позвонить в неудачный время спрашивать что я делать ответ один быть: матерюсьлен материться все 15 час #мтс #разочарование 
positive,positive,@by_mts хороший аппарат 
negative,negative,тупой интернет мтсгде связь @ru_mts 
positive,positive,@ru_mts урра оно написать что я отписывать отрассылка спасибо 
negative,positive,только мтс писать я смска с пожелание  от человек хер дождаться 
positive,negative,ужасный качество связь #мтс и тариф аля на шаг впереди доставать уже(( думать о смена оператор http://tco/pvknshdvgk 
negative,negative,наворовывать деньги теперь отмечать;) мтс гулять стадо в 5000 человек (@ мосэкспо (павильон №75) w/ 2 others) [pic]: http://tco/ucwgsrhv04 
positive,negative, @vladushkastupak: ужасный качество связь #мтс и тариф аля на шаг впереди доставать уже(( думать о смена оператор http://tco/pvknshdv 
negative,negative,мтс начинать глючать я скорость интернет до черепаший - красна на модем коннект-3 видеть хотеть в ответ сдача получать в санкт-петербург 
negative,positive,приходить в @ru_mts купить подарок мальчик из детский дом на нгпомимо желаемый симкарта подарить подарок от салон и мтсбольшой спасибо 
negative,negative, @skemhey: к интернет от мтс хотеться прикладывать подорожник 
negative,negative,мтс инет гавно 
negative,negative,@ubelous мтс в принцип гавно 
negative,negative,это не мобильный интернет - этот издевательство  #мтс 
negative,negative,@ilyaantonovich ну хоть можно дозваниваться в мтс тупо автоответчик говорить перезванивать поздно и бросать трубка 
negative,negative,@ru_mts @ynikitenko я вы жаловаться подробно чуть ли ни с gps координата а толк мтс гавно и где 4g 
negative,negative,я сегодня позванить мтс и спрашивать довольный ли я услуга связь нет сука потому что ваш хр http://tco/xc1nq8r5lj 
negative,negative,к интернет от мтс хотеться прикладывать подорожник 
negative,negative,блин я уже надоедать весь это такой инет не работать (((( с планшет зайти  мтс тормозить так что http://tco/vfcjcxxe1i 
negative,negative,@ru_mts а когда быть улучшение связисеть вообще не ловить 
negative,negative,жаловаться @by_mts  фиговый работать интернет на телефон тратить иногда много 2 гиг а связь по весь город пропадать фу такой быть 
negative,negative, @tenerifepearl09: #мтс вы воровать деньги со счет абонент а когда вы задолжать 95 рубль грозиться обращаться в коллекторский агент 
negative,negative, @sibojudoqyha: я сегодня позванить мтс и спрашивать довольный ли я услуга связь нет сука потому что ваш хр 
negative,negative,@ru_mts то что у я вчера весь день не работать связь я не мочь никто дозваниваться связь глюкануть как сказать в офис 
negative,negative,#мтс- бездарь и бесславный ублюдок 
negative,negative,ебаный мтс в рот вы ебать надо не кто не мочь позвонить и написатьчто бля за хуйня 
negative,negative,@ru_mts да идти в жопа ааа 
positive,negative,@chivekrodis миша ты уеб просто мтс у все тупить 
negative,negative, @poutoupatbo: к интернет от мтс хотеться прикладывать подорожник 
negative,negative,@ru_mts я предлагать сходить с паспорт в салон мтсчто я считать наглость решать пожалуйста вопрос с оповещение 
positive,negative,прибыль мтс за шесть месяц уменьшаться до 28 млрд 
positive,positive,доздравствовать нормальный интернет ааааеее интернет от #мтс 
negative,negative,@allintop а я наоборот на биллайн хотеть переходить)) мтс я тоже не устраивать 
negative,negative,мтс - неисчерпаемый источник вдохновение мой ненависть 
negative,negative,очень довольный интернет мегафон) не зря мтс выбрасывать) 
negative,negative,интернет мтс самый конченый один эмоция 
negative,negative,и еще мтс идти нахуйэто не связь это слеза 
negative,negative,#новость к интернет от мтс хотеться прикладывать подорожник 
negative,negative,@ru_mts я час ровно прождать ответ специалист не дождаться приходиться ждать наступление утро ехать в офис и отстаивать очередь 
negative,negative,мтс ночь я окончательно добивать) второй ночь подряд нет связь 
negative,negative,приходить смс на телефон  обрадоваться зря ((( мтс - урод  не писать я много  
negative,negative,мтс задолбать искать только как можно много деньги стрести уже с минусовый баланс можно звонить сидеть в нет и т д 
negative,positive,у все свой странность я вот обожать звонить в служба мтс и слушать этот чудесный голос оператор денис он я так успокаивать 
negative,negative,@ru_mts подключать я куча услуга не спрашивать надо ли я это а теперь сдирать деньги 
negative,negative,фитнес экспресс акция 6 месяц за 2014 рубль мтс как бы намекать что я жирный 
negative,positive,последний время я начинать радовать 3g интернет от #mts #мтс  
negative,negative, @hey_hey_lana: хотеть что б за рассылка спам  мтс засуживать убивать уничтожать  ибо нехуй рассылать всякий фигня когда я спать и тревож 
negative,negative, @julvinogradova: @rus_fas  уважаемый фас я мтс деньги не возвращать сумма небольшой но все же - надеяться на ваш помощь 
negative,negative,спешить заявитьчто мтс гавно 
negative,negative,@agarkov19 вот-вотмтс я конкретно доставать у я тариф все включать м там 600 минсмсммс и 4гб без ограничение-490р хватать 
negative,negative,дяденька из мтс смотреть на я как на дура играть в печенька 
negative,negative, @lolajon87: тупой мтс связь в мега вообще не быть  
negative,negative,тот чейнз говномтс долбать во весь дыра дрянь 
negative,negative, @css8574: у мтс проблема со связь из-за замена оборудование 
negative,negative,#мтс что со связь вновь на остров вообще место пропадать а в город с интернет что 
negative,negative,@ru_mts вы выделять персональный менеджер но ни в офис ни по телефон не по почта связываться с он нельзя-контакт нет зачем 
negative,negative,@ru_mts вот вы один пример что вы говноконтора наследие совок что давать то и жрать где нормальный отношение к клиент 
negative,negative,@ru_mts спасибо за ответ точно за посыл в офис неужели мой вопрос поставлять вы в тупик  
negative,positive, @irresistibllee: у я ни копейка не снимать за то что я звонить ночь @sonjakononova   в такой момент я любить мтс :d 
negative,positive,мтс подарить 1 смс ^_^ ахи 
positive,positive,zaletchikya мтс запускать в новосибирский область сеть 4g 
positive,positive,мтс запускать сеть lte в красноярский край: компания мобильный телесистема (мтс) объявлять о запуск в коммер http://tco/qf7rbiftw9 
positive,positive,мтс запускать первый сеть lte в сибирь 
positive,positive,мтс запускать сеть lte в красноярский край http://tco/wznkxb8rcz 
negative,negative,&amp;lt;x&amp;gt; я хотеть чтобы секс у сотрудник мтс быть такой же как мой связь / &amp;lt;x&amp;gt; только входить и сразу выкидывать 
positive,positive,#news после новосибирск мтс запускать сеть 4g в красноярск  #жизнь 
positive,positive,после новосибирск мтс запускать сеть 4g в красноярск 
positive,positive,после новосибирск мтс запускать сеть 4g в красноярск  #followback #sledui 
positive,positive,после новосибирск мтс запускать сеть 4g в красноярск: до конец 2013 год 4g появляться еще в один регион фил http://tco/dm7bzxpyon 
